group,n_rows,n_subjects,p_outcome_chosen_mean,p_outcome_chosen_sd,p_chose_green_mean,p_chose_green_sd,rt_mean_ms_mean,rt_mean_ms_sd,BDI_mean,BDI_sd,STAI_Trait_mean,STAI_Trait_sd,PSWQ_mean,PSWQ_sd,MASQ.AD_mean,MASQ.AD_sd
GAD,26,13,0.515,0.08,0.489,0.097,844.614,252.87,19.385,10.804,57.615,9.011,75.923,8.704,73.615,15.887
MDD,38,20,0.517,0.066,0.491,0.097,969.419,419.057,24.158,9.463,59.263,6.725,60.974,14.223,80.711,10.488
community,59,30,0.508,0.119,0.501,0.138,1123.058,286.653,5.367,7.576,36.034,11.459,41.959,14.989,48.735,19.436
control,47,24,0.523,0.091,0.518,0.102,822.592,236.732,6.915,7.526,39.596,12.388,52.362,13.321,54.83,18.749
